EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Halifax NS,2/15/1905 0:00,"Nova Scotia, February 15-17, 1905. Most severe storm of the ""Year of the Big Snow.""",0,0,0,,,2/17/1905 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Edmonton AB,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatoon SK,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Regina SK,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Toronto ON,11/7/1913 0:00,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270,0,0,,,11/13/1913 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Ottawa ON,11/7/1913 0:00,"Lakes Huron, Erie, and Ontario, November 7-13, 1913. 270 sailors drowned: 34 ships went down during a fierce weekend storm with winds up to 140 km/h: entire crews of eight ships were lost.",270,0,0,,,11/13/1913 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Winnipeg MB,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Calgary AB,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
